,alias,display_phone,distance,id,image_url,name,phone,price,rating,review_count,url,latitude,longitude,address1,address2,address3,city,zip_code,country,state,display_address,category1,category2,alias,title
0,the-english-rose-cafe-and-tea-shop-london,+44 20 7976 6280,1745.469334,BjPq77aiaKZAVUHIu2S3gA,https://s3-media1.fl.yelpcdn.com/bphoto/B_v1cOkgPEcbr8e2rtfaog/o.jpg,The English Rose Cafe and Tea Shop,4.42E+11,££,4.5,156,https://www.yelp.com/biz/the-english-rose-cafe-and-tea-shop-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.4980558,-0.1444512,4 Lower Grosvenor Place,,,London,SW1W 0EJ,GB,XGL,"4 Lower Grosvenor Place, London SW1W 0EJ","{alias: breakfast_brunch, title: Breakfast & Brunch}","{alias: cafes, title: Cafes}",coffee,Coffee & Tea
1,japan-centre-london-5,+44 20 3405 1246,465.5415651,e191n3v6pNzE2DxkBXgAkw,https://s3-media1.fl.yelpcdn.com/bphoto/JKxb8SYbwvBrTh6WelZz1g/o.jpg,Japan Centre,4.42E+11,££,4,167,https://www.yelp.com/biz/japan-centre-london-5?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.509734,-0.131437,35b Panton Street,,,London,SW1Y 4EA,GB,XGL,"35b Panton Street, London SW1Y 4EA",,,intlgrocery,International Grocery
2,ladurée-london-8,+44 20 3155 0111,2439.581715,x5vg6DMQQjiuZ2SQVKhIAg,https://s3-media3.fl.yelpcdn.com/bphoto/SRqHeyxF7U1xazQ1aKR3sA/o.jpg,Ladurée,4.42E+11,£££,4,127,https://www.yelp.com/biz/ladur%C3%A9e-london-8?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.49848517,-0.162618309,87 Brompton Road,Harrods,,London,SW1X 7XL,GB,XGL,"87 Brompton Road, Harrods, London SW1X 7XL","{alias: macarons, title: Macarons}","{alias: chocolate, title: Chocolatiers & Shops}",delicatessen,Delicatessen
3,laduree-london-14,+44 20 7491 9155,557.4749358,OGW03dLcEui-6CWZIucVMw,https://s3-media3.fl.yelpcdn.com/bphoto/gnAH2qu0IqhJq3NQA1h8Jg/o.jpg,Laduree,4.42E+11,£££,4.5,71,https://www.yelp.com/biz/laduree-london-14?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.50835725,-0.139577355,71-72 Burlington Arcade,,,London,W1J 0QX,GB,XGL,"71-72 Burlington Arcade, London W1J 0QX","{alias: delicatessen, title: Delicatessen}","{alias: cakeshop, title: Patisserie/Cake Shop}",macarons,Macarons
4,biju-bubble-tea-room-london,+44 20 7287 4040,251.3747548,#NAME?,https://s3-media4.fl.yelpcdn.com/bphoto/ngfR2c7s0MZx33bLbRA9kw/o.jpg,Biju Bubble Tea Room,4.42E+11,£,4,135,https://www.yelp.com/biz/biju-bubble-tea-room-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.51268,-0.13232,45 Old Compton Street,Soho,,London,W1D 6HQ,GB,XGL,"45 Old Compton Street, Soho, London W1D 6HQ","{alias: bubbletea, title: Bubble Tea}",,coffee,Coffee & Tea
5,casa-tua-london-2,+44 20 7833 1483,1855.786405,E_3NekwxctQ3BzN7tLKk2A,https://s3-media1.fl.yelpcdn.com/bphoto/rRU7bwEPDvoE2zhRkHl_2g/o.jpg,Casa Tua,4.42E+11,£,4.5,39,https://www.yelp.com/biz/casa-tua-london-2?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.5276449,-0.123588236,106 Cromer Street,,,London,WC1H 8BZ,GB,XGL,"106 Cromer Street, London WC1H 8BZ","{alias: italian, title: Italian}","{alias: breakfast_brunch, title: Breakfast & Brunch}",coffee,Coffee & Tea
6,joe-and-the-juice-london,+44 20 7355 1000,585.6274532,LtKwDYJMa1Ud_6MrsIOKvQ,https://s3-media3.fl.yelpcdn.com/bphoto/b4rIvMizKwclK4nqTyHBYw/o.jpg,JOE & THE JUICE,4.42E+11,££,4,85,https://www.yelp.com/biz/joe-and-the-juice-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.5161285,-0.1424872,281 Regent Street,,,London,W1B 2HE,GB,XGL,"281 Regent Street, London W1B 2HE",,,juicebars,Juice Bars & Smoothies
7,over-under-coffee-london-2,+44 7944 494555,4556.965562,BNAddFkvoUGR1l6AL32p8w,https://s3-media1.fl.yelpcdn.com/bphoto/fayedSawKOwV5ef7lQcJ-g/o.jpg,Over Under Coffee,4.48E+11,£,4.5,31,https://www.yelp.com/biz/over-under-coffee-london-2?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.4923794,-0.1930041,181A Earls Court Road,,,London,SW5 9RD,GB,XGL,"181A Earls Court Road, London SW5 9RD","{alias: salad, title: Salad}","{alias: sandwiches, title: Sandwiches}",coffee,Coffee & Tea
8,palm-court-london,+44 20 7965 0195,779.2584556,1pUEGW91riUIux0TZWw_4g,https://s3-media3.fl.yelpcdn.com/bphoto/lm0uTmtWFWNdHZ9t_bDGDQ/o.jpg,Palm Court,4.42E+11,£££,4,59,https://www.yelp.com/biz/palm-court-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.51786106,-0.143804587,1C Portland Place,,,London,W1B 1JA,GB,XGL,"1C Portland Place, London W1B 1JA",,,tea,Tea Rooms
9,the-alchemist-london-3,+44 20 7283 8800,3924.972425,LpIY4AvlAQZqJEZgcFoFPA,https://s3-media3.fl.yelpcdn.com/bphoto/GDtaV7euTxI1qPu8hbSVqg/o.jpg,The Alchemist,4.42E+11,££,4,71,https://www.yelp.com/biz/the-alchemist-london-3?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.5150476,-0.0793474,6 Bevis Marks,,,London,EC3A 7BA,GB,XGL,"6 Bevis Marks, London EC3A 7BA","{alias: coffee, title: Coffee & Tea}","{alias: breakfast_brunch, title: Breakfast & Brunch}",cocktailbars,Cocktail Bars
10,paul-a-young-fine-chocolates-london-7,+44 20 7437 0011,170.2334773,UYa92g9auO3Dgar8t3Kz6w,https://s3-media2.fl.yelpcdn.com/bphoto/61sRRXuAHdpcc0mL5oxlMQ/o.jpg,Paul A Young Fine Chocolates,4.42E+11,£££,4.5,30,https://www.yelp.com/biz/paul-a-young-fine-chocolates-london-7?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.51411647,-0.134608564,143 Wardour Street,Soho,,London,W1F 8WA,GB,XGL,"143 Wardour Street, Soho, London W1F 8WA",,,chocolate,Chocolatiers & Shops
11,new-london-cafe-london,+44 20 7354 7321,4594.940462,PHTcl--LbBwA1N6EHZV_sg,https://s3-media3.fl.yelpcdn.com/bphoto/toOgrlCSB5212lZO8ElORw/o.jpg,New London Cafe,4.42E+11,£,4.5,24,https://www.yelp.com/biz/new-london-cafe-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.54691071,-0.098378105,216 St Pauls Road,Islington,,London,N1 2LL,GB,XGL,"216 St Pauls Road, Islington, London N1 2LL","{alias: breakfast_brunch, title: Breakfast & Brunch}","{alias: burgers, title: Burgers}",coffee,Coffee & Tea
12,albion-shoreditch-at-the-boundary-project-london,+44 20 7729 1051,4326.700274,4QK1kQOde5RZ6PNTfo7wug,https://s3-media2.fl.yelpcdn.com/bphoto/Yp-hDbMZx_MK4vgtFcwgWw/o.jpg,Albion Shoreditch at The Boundary Project,4.42E+11,££,3.5,102,https://www.yelp.com/biz/albion-shoreditch-at-the-boundary-project-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.524137,-0.076235,2-4 Boundary Street,,,London,E2 7DD,GB,XGL,"2-4 Boundary Street, London E2 7DD","{alias: cafes, title: Cafes}",,cakeshop,Patisserie/Cake Shop
13,shot-espresso-london,+44 20 7381 5572,5599.565652,gRp1o8vSY1yj87C22zOM8Q,https://s3-media2.fl.yelpcdn.com/bphoto/mgGffFOjrvCfX35pX4w7fQ/o.jpg,Shot Espresso,4.42E+11,£,5,18,https://www.yelp.com/biz/shot-espresso-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.48069373,-0.198225594,11 Jerdan place,,,London,SW6 1BE,GB,XGL,"11 Jerdan place, London SW6 1BE","{alias: coffee, title: Coffee & Tea}","{alias: breakfast_brunch, title: Breakfast & Brunch}",cafes,Cafes
14,waitrose-london-3,+44 20 7370 2424,3877.850643,tBkUQ3qQtNlX0loC-72rkg,https://s3-media3.fl.yelpcdn.com/bphoto/2YQaiaj2R6K3-1FgEBeSwA/o.jpg,Waitrose,4.42E+11,££,4,37,https://www.yelp.com/biz/waitrose-london-3?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.49480951,-0.183917603,Gloucester Arcade,128 Gloucester Road,,London,SW7 4SF,GB,XGL,"Gloucester Arcade, 128 Gloucester Road, London SW7 4SF",,,grocery,Grocery
15,gelatorino-london,+44 20 7240 0746,1042.063539,YFzC-97Fp8fSr3uHSiFARg,https://s3-media2.fl.yelpcdn.com/bphoto/sw0xngrLPbhznUkzUi-O0Q/o.jpg,Gelatorino,4.42E+11,£,4.5,24,https://www.yelp.com/biz/gelatorino-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.512695,-0.120899,2 Russel Street,,,London,WC2B 5JD,GB,XGL,"2 Russel Street, London WC2B 5JD",,,icecream,Ice Cream & Frozen Yogurt
16,coffee-cakes-and-kisses-london,+44 20 7388 6748,1292.243331,NLxsxrrOVo-Fwg78VuhBqg,https://s3-media4.fl.yelpcdn.com/bphoto/LaByHhP7CCC1uBKFN88CAA/o.jpg,"Coffee, Cakes & Kisses",4.42E+11,£,5,14,https://www.yelp.com/biz/coffee-cakes-and-kisses-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.52417755,-0.140123993,54 Warren Street,,,London,W1T 5NN,GB,XGL,"54 Warren Street, London W1T 5NN","{alias: venues, title: Venues & Event Spaces}",,coffee,Coffee & Tea
17,farmstand-london,+44 20 7240 3866,986.9717381,LYPuCoeoYpRpMcvFfwK3wQ,https://s3-media1.fl.yelpcdn.com/bphoto/kImQlyKLRTLji5RNBWfb2g/o.jpg,Farmstand,4.42E+11,£,4,34,https://www.yelp.com/biz/farmstand-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.51433945,-0.122018814,42 Drury Lane,Covent Garden,,London,WC2B 5AJ,GB,XGL,"42 Drury Lane, Covent Garden, London WC2B 5AJ","{alias: breakfast_brunch, title: Breakfast & Brunch}","{alias: coffee, title: Coffee & Tea}",gluten_free,Gluten-Free
18,gails-bakery-notting-hill-london-3,+44 20 7792 8715,4672.97394,Lxhbq_b8tbCdji7N4g3hGw,https://s3-media4.fl.yelpcdn.com/bphoto/FCm5aIxv_3oz8UzEOgdCuQ/o.jpg,GAILs Bakery Notting Hill,4.42E+11,££,3.5,55,https://www.yelp.com/biz/gails-bakery-notting-hill-london-3?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.51425566,-0.203445948,138 Portobello Road,,,London,W11 2DZ,GB,XGL,"138 Portobello Road, London W11 2DZ",,,bakeries,Bakeries
19,artisan-du-chocolat-london-4,+44 20 7824 8365,2902.687385,uvTZ6c3ZbYQ-2vGGjGQCDg,https://s3-media3.fl.yelpcdn.com/bphoto/8VMg4b4tEqR2PAuw0sACcQ/o.jpg,Artisan Du Chocolat,4.42E+11,£££,4.5,16,https://www.yelp.com/biz/artisan-du-chocolat-london-4?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.4899613,-0.1560818,89 Lower Sloane Street,,,London,SW1W 8DA,GB,XGL,"89 Lower Sloane Street, London SW1W 8DA","{alias: chocolate, title: Chocolatiers & Shops}",,candy,Candy Stores
20,daylesford-organic-london-3,+44 20 7881 8060,2751.476026,4TU99yHlV6jNjZNwsiz1rA,https://s3-media4.fl.yelpcdn.com/bphoto/Sqexo7taEv-7g0YnP4qT3w/o.jpg,Daylesford Organic,4.42E+11,££,3.5,47,https://www.yelp.com/biz/daylesford-organic-london-3?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.490645,-0.1533991,44b Pimlico Road,,,London,SW1W 8LP,GB,XGL,"44b Pimlico Road, London SW1W 8LP","{alias: breakfast_brunch, title: Breakfast & Brunch}","{alias: organic_stores, title: Organic Stores}",british,British
21,the-gentlemen-baristas-london,+44 7816 461315,3025.052485,XN7K4g1Wq-93WYvg85EgMg,https://s3-media4.fl.yelpcdn.com/bphoto/jcNLAlMZnansYL2N3KABhg/o.jpg,The Gentlemen Baristas,4.48E+11,£,4.5,15,https://www.yelp.com/biz/the-gentlemen-baristas-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.503842,-0.094703566,63 Union Street,,,London,SE1 1SG,GB,XGL,"63 Union Street, London SE1 1SG",,,coffee,Coffee & Tea
22,partridges-london-3,+44 20 7730 0651,2911.374322,V5CP1R500pvdD-VqHrbFxA,https://s3-media2.fl.yelpcdn.com/bphoto/kKR2HpoWbzeAkVRp6MfezA/o.jpg,Partridges,4.42E+11,£££,4,34,https://www.yelp.com/biz/partridges-london-3?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.49113697,-0.159494877,2-5 Duke of York Square,Sloane Square,,London,SW3 4LY,GB,XGL,"2-5 Duke of York Square, Sloane Square, London SW3 4LY",,,grocery,Grocery
23,doppio-coffee-warehouse-london-2,+44 20 7247 7838,4664.928889,wuaG5xQ2STIZ8IEUEB4Mbw,https://s3-media4.fl.yelpcdn.com/bphoto/C4at3ac6s7lmeD15IFOfBQ/o.jpg,Doppio Coffee Warehouse,4.42E+11,£,4.5,14,https://www.yelp.com/biz/doppio-coffee-warehouse-london-2?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.52009626,-0.069556385,90 Hanbury Street,,,London,E1 5JL,GB,XGL,"90 Hanbury Street, London E1 5JL",,,coffee,Coffee & Tea
24,london-grind-london,+44 20 3019 7178,3344.260499,Q8tBpAt5TKOOMGJjPxBKmA,https://s3-media3.fl.yelpcdn.com/bphoto/EFYOJilRALNk7xMxcaqdZw/o.jpg,London Grind,4.42E+11,££,3.5,40,https://www.yelp.com/biz/london-grind-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.506642,-0.088668,2 London Bridge,,,London,SW1Y 4UY,GB,XGL,"2 London Bridge, London SW1Y 4UY","{alias: coffee, title: Coffee & Tea}","{alias: breakfast_brunch, title: Breakfast & Brunch}",cocktailbars,Cocktail Bars
25,phoenicia-mediterranean-food-hall-london,+44 20 7267 1267,3884.13125,IDH_axJK2uI99N5-_PHl5A,https://s3-media3.fl.yelpcdn.com/bphoto/jVQwCWM78Aneh-MwhCtMdA/o.jpg,Phoenicia - Mediterranean Food Hall,4.42E+11,£,4,22,https://www.yelp.com/biz/phoenicia-mediterranean-food-hall-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.54757309,-0.141117007,186-188 Kentish Town Road,,,London,NW5 2AE,GB,XGL,"186-188 Kentish Town Road, London NW5 2AE","{alias: customcakes, title: Custom Cakes}","{alias: butcher, title: Butcher}",intlgrocery,International Grocery
26,summer-with-monika-london,+44 20 7253 8631,4059.530467,g1RTEAXkhEobqDNGNcIIJA,https://s3-media4.fl.yelpcdn.com/bphoto/nFrqhIYrmZPTTV99m5xOJg/o.jpg,Summer With Monika,4.42E+11,££,4.5,12,https://www.yelp.com/biz/summer-with-monika-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.52940343,-0.083671883,67-69 Pitfield Street,,,London,N1 6BT,GB,XGL,"67-69 Pitfield Street, London N1 6BT","{alias: grocery, title: Grocery}","{alias: coffee, title: Coffee & Tea}",cafes,Cafes
27,tart-london-3,+44 20 7627 2176,5627.704809,ZQfjDBIZKOp5ecbTPFjRrw,https://s3-media4.fl.yelpcdn.com/bphoto/gVQ5N5i8D85r5JOi5it2Ug/o.jpg,Tart,4.42E+11,£,5,8,https://www.yelp.com/biz/tart-london-3?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.46229285,-0.140184631,25 The Pavement,,,London,SW4 0JA,GB,XGL,"25 The Pavement, London SW4 0JA","{alias: bakeries, title: Bakeries}","{alias: venues, title: Venues & Event Spaces}",coffee,Coffee & Tea
28,sugarsin-london-3,+44 20 8616 5959,1043.603594,_uKYvmUC7kapdNKVp36SXA,https://s3-media3.fl.yelpcdn.com/bphoto/ykXvdF5UwJxj6eOYBZmYqw/o.jpg,SugarSin,4.42E+11,££,4.5,11,https://www.yelp.com/biz/sugarsin-london-3?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.51275322,-0.120875622,1 Russell Street,,,London,WC2B 5JD,GB,XGL,"1 Russell Street, London WC2B 5JD",,,candy,Candy Stores
29,joes-kitchen-borough,+44 20 7939 1490,3151.295818,rI9gZfQ_R3de2gQGIvm5mg,https://s3-media4.fl.yelpcdn.com/bphoto/7jIpW-1WGF7GV4Dc7GjePQ/o.jpg,Joes Kitchen,4.42E+11,££,3.5,58,https://www.yelp.com/biz/joes-kitchen-borough?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.50131226,-0.094356999,5-7 Marshalsea Road,,,Borough,SE1 1EP,GB,XGL,"5-7 Marshalsea Road, Borough SE1 1EP","{alias: juicebars, title: Juice Bars & Smoothies}","{alias: tapasmallplates, title: Tapas/Small Plates}",breakfast_brunch,Breakfast & Brunch
30,boki-london,+44 20 7836 8589,582.1923509,vlyegsU6Sobc5zWEwkZkRg,https://s3-media1.fl.yelpcdn.com/bphoto/YLnEyagnfe3RoKvMz2n3DA/o.jpg,Boki,4.42E+11,££,5,7,https://www.yelp.com/biz/boki-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.513575,-0.127627,20 Earlham Street,,,London,WC2H 9LG,GB,XGL,"20 Earlham Street, London WC2H 9LG","{alias: tapasmallplates, title: Tapas/Small Plates}","{alias: cocktailbars, title: Cocktail Bars}",coffee,Coffee & Tea
31,marks-and-spencer-london-130,+44 20 7630 9529,1997.174842,ZAqUvflw1EjQQ_p15fkg3g,https://s3-media2.fl.yelpcdn.com/bphoto/bNBiqt2IWUQBMU8clrCaCA/o.jpg,Marks and Spencer,4.42E+11,££,4,15,https://www.yelp.com/biz/marks-and-spencer-london-130?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.49569433,-0.144574203,East Rail Simply Food,Victoria Street,Victoria Mainline Station,London,SW1V 1JU,GB,XGL,"East Rail Simply Food, Victoria Street, Victoria Mainline Station, London SW1V 1JU",,,grocery,Grocery
32,east-london-liquor-company-london,+44 20 3011 0980,6864.114142,U8-QmWEu9Iig_SIXo2UGGA,https://s3-media4.fl.yelpcdn.com/bphoto/t1znS1RfLQisNv9jdWZGWw/o.jpg,East London Liquor Company,4.42E+11,££,4.5,8,https://www.yelp.com/biz/east-london-liquor-company-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.53192273,-0.041605642,Unit GF1,221 Grove Road,Bow Wharf,London,E3 5SN,GB,XGL,"Unit GF1, 221 Grove Road, Bow Wharf, London E3 5SN","{alias: distilleries, title: Distilleries}",,beer_and_wine,"Beer, Wine & Spirits"
33,earth-natural-foods-london,+44 20 7482 2211,4013.864448,T4wIul7m-Qjm8bU-bHA-jg,https://s3-media4.fl.yelpcdn.com/bphoto/oOhuQRluQWHtjJmdwMqFCw/o.jpg,Earth Natural Foods,4.42E+11,££,4,17,https://www.yelp.com/biz/earth-natural-foods-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.54880017,-0.140931215,200 Kentish Town Road,,,London,NW5 2AE,GB,XGL,"200 Kentish Town Road, London NW5 2AE",,,healthmarkets,Health Markets
34,nosteagia-london,+44 7564 117339,4275.947097,gFAluKQxU8mVq-MzcEikgQ,https://s3-media3.fl.yelpcdn.com/bphoto/NgVJgpNSlLql-GvOCwpV_g/o.jpg,Nosteagia,4.48E+11,£,4,15,https://www.yelp.com/biz/nosteagia-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.5234799,-0.0765729,Unit 58 Boxpark Shoreditch,2-10 Bethnal Green Road,,London,E1 6GY,GB,XGL,"Unit 58 Boxpark Shoreditch, 2-10 Bethnal Green Road, London E1 6GY","{alias: bubbletea, title: Bubble Tea}","{alias: waffles, title: Waffles}",desserts,Desserts
